concept,category,terms,verdict,priority,note
saffron,spices,زعفران|saffron|zaafaran,,P2,
salt,spices,ملح|salt|malh,,,
star anise,spices,ينسون نجمي|star anise,,P2,
sumac,spices,سماق|sumac|summa2,,,
turmeric,spices,كركم|turmeric|kurkum,,,
vanilla,spices,فانيليا|vanilla,,,
white pepper,spices,فلفل أبيض|white pepper,,,
whole black pepper,spices,فلفل حب|peppercorns,form,,
whole cumin seeds,spices,كمون حب|whole cumin,form,,
artichoke,vegetables,خرشوف|artichoke|kharshouf,,,
asparagus,vegetables,اسبراجوس|asparagus,,P2,
beetroot,vegetables,بنجر|beetroot|bangar,,,
bell pepper,vegetables,فلفل ألوان|bell pepper|felfel alwan,,,
broccoli,vegetables,بروكلي|broccoli,,,
cabbage,vegetables,كرنب|cabbage|koronb,,,
carrots,vegetables,جزر|carrots|gazar,,,
cauliflower,vegetables,قرنبيط|cauliflower|arnabeet,,,
celery,vegetables,كرفس|celery|karafs,,,
cherry tomatoes,vegetables,طماطم شيري|cherry tomatoes,,,
chili pepper,vegetables,فلفل حار|chili pepper|felfel har,,,
corn on the cob,vegetables,ذرة مشوية|corn cob,form,,
cucumber,vegetables,خيار|cucumber|khiar,,,
dried mint,vegetables,نعناع ناشف|dried mint,form,,
dried molokhia,vegetables,ملوخية ناشفة|dried molokhia,,P1,
dried okra / weeka,vegetables,ويكة|dried okra|weeka,,P1,
eggplant,vegetables,باذنجان|eggplant|betingan,,,
fennel bulb,vegetables,شمر|fennel,,long-tail,
"fried onions, ready",vegetables,بصل مقلي|crispy onions,,P1,
garden cress,vegetables,رشاد|cress|rashad,,P2,
garlic,vegetables,ثوم|garlic|toum,,,
garlic powder,vegetables,ثوم بودرة|garlic powder,,,
green beans,vegetables,فاصوليا خضراء|green beans,,,
green chard,vegetables,سلق|chard|selk,,P2,
green onion,vegetables,بصل أخضر|green onion,,,
green peas,vegetables,بسلة|green peas|besella,,,
green pepper,vegetables,فلفل أخضر|green pepper,form,,
jerusalem artichoke,vegetables,طرطوفة|jerusalem artichoke,,long-tail,
jew's mallow stems,vegetables,عيدان الملوخية|molokhia stems,form,,
jute mallow seeds,vegetables,بذور ملوخية|molokhia seeds,,long-tail,
leek,vegetables,كرات|leek|korrat,,P2,
lettuce,vegetables,خس|lettuce|khas,,,
mallow / khobeza,vegetables,خبيزة|mallow|khobeza,,P2,
molokhia,vegetables,ملوخية|molokhia,,,
mushroom,vegetables,مشروم|mushroom|eish el ghorab,,,
okra,vegetables,بامية|okra|bamya,,,
onion powder,vegetables,بصل بودرة|onion powder,,,
onions,vegetables,بصل|onions|basal,,,
potatoes,vegetables,بطاطس|potatoes|batates,,,
pumpkin,vegetables,قرع عسلي|pumpkin|ar3,,,
purslane,vegetables,رجلة|purslane|regla,,P2,
radish,vegetables,فجل|radish|fegl,,P2,
rocket,vegetables,جرجير|rocket|gargeer,,,
spinach,vegetables,سبانخ|spinach|sabanekh,,,
spring garlic,vegetables,ثوم أخضر|spring garlic,,,
spring onion greens,vegetables,ورق بصل|onion greens,form,,
string beans,vegetables,لوبيا خضراء|string beans,form,,
sweet potato,vegetables,بطاطا|sweet potato|bataata,,,
sweetcorn,vegetables,ذرة|corn|dora,,,
taro / colocasia,vegetables,قلقاس|taro|olcas,,P1,
tomatoes,vegetables,طماطم|tomatoes|oota,,,
turnip,vegetables,لفت|turnip|left,,P2,
vine leaves,vegetables,ورق عنب|vine leaves|wara enab,,,
watercress,vegetables,حريف|watercress|كرفس مائي,,,
white radish,vegetables,فجل أبيض|white radish,form,,
zucchini,vegetables,كوسة|zucchini|kosa,,,
